       PADS LIBRARY (hpsdr Part Types) DIRECTORY LISTING
Item Name                                When Modified

24LC128                                  04/27/06 08:26:39
2P_PWR                                   04/27/06 08:26:49
ALTERA_JTAG                              04/27/06 08:26:55
ATX_20                                   04/27/06 08:27:00
CY7C68013A_128                           04/27/06 08:27:06
DS92LV010                                04/27/06 08:27:11
EPCS1                                    04/27/06 08:27:18
HDR6_0100                                04/27/06 08:27:23
LED_SMT                                  04/27/06 08:27:28
PWR_PAD_2                                04/27/06 08:27:32
USB_B                                    04/27/06 08:27:37
XTAL_OSC                                 04/27/06 08:27:42

